"","s.name","r.name","r.type","norm","threshold","seqnames","strand","start","end","width","tel.length","chr.end"
"1021","cen-pk","SRR13577846.30906","nl","normalized","36-38","ref|NC_001142|","+",89,8208,8120,0.472,"5'"
"1022","cen-pk","SRR13577846.30917","nl","normalized","36-38","ref|NC_001144|","+",1062373,1071600,9228,0.563,"3'"
"1023","cen-pk","SRR13577846.3095","nl","normalized","36-38","ref|NC_001147|","+",1087964,1091236,3273,0.896,"3'"
"1024","cen-pk","SRR13577846.30983","nl","normalized","36-38","ref|NC_001136|","+",1517303,1525334,8032,0.397,"3'"
"1025","cen-pk","SRR13577846.31007","nl","normalized","36-38","ref|NC_001138|","-",1,7967,7967,0.158,"3'"
"1026","cen-pk","SRR13577846.31047","nl","normalized","36-38","ref|NC_001140|","-",555182,562417,7236,0.536,"5'"
"1027","cen-pk","SRR13577846.31086","nl","normalized","36-38","ref|NC_001144|","+",68,9370,9303,0.872,"5'"
"1028","cen-pk","SRR13577846.31104","nl","normalized","36-38","ref|NC_001144|","+",1070970,1078177,7208,0.81,"3'"
"1029","cen-pk","SRR13577846.31117","nl","normalized","36-38","ref|NC_001147|","-",104,8349,8246,0.747,"3'"
"1030","cen-pk","SRR13577846.3114","nl","normalized","36-38","ref|NC_001144|","+",16489,24651,8163,0.512,"5'"
"1031","cen-pk","SRR13577846.31148","nl","normalized","36-38","ref|NC_001140|","+",58,7530,7473,0.53,"5'"
"1032","cen-pk","SRR13577846.31170","nl","normalized","36-38","ref|NC_001140|","+",553998,558619,4622,0.445,"3'"
"1033","cen-pk","SRR13577846.31194","nl","normalized","36-38","ref|NC_001138|","-",1,9294,9294,0.543,"3'"
"1034","cen-pk","SRR13577846.3122","nl","normalized","36-38","ref|NC_001136|","-",181,9060,8880,0.504,"3'"
"1035","cen-pk","SRR13577846.31242","nl","normalized","36-38","ref|NC_001144|","-",16489,23279,6791,0.511,"3'"
"1036","cen-pk","SRR13577846.31332","nl","normalized","36-38","ref|NC_001144|","+",16489,23545,7057,0.512,"5'"
"1037","cen-pk","SRR13577846.31423","nl","normalized","36-38","ref|NC_001144|","+",1068366,1078177,9812,0.784,"3'"
"1038","cen-pk","SRR13577846.31431","nl","normalized","36-38","ref|NC_001140|","-",97,7530,7434,0.467,"3'"
"1039","cen-pk","SRR13577846.31433","nl","normalized","36-38","ref|NC_001136|","-",179,8159,7981,0.455,"3'"
"1040","cen-pk","SRR13577846.31449","nl","normalized","36-38","ref|NC_001138|","+",1,7161,7161,0.848,"5'"
"1041","cen-pk","SRR13577846.31487","nl","normalized","36-38","ref|NC_001134|","-",1,9509,9509,0.496,"3'"
"1042","cen-pk","SRR13577846.31497","nl","normalized","36-38","ref|NC_001145|","+",913783,924276,10494,0.231,"3'"
"1043","cen-pk","SRR13577846.31549","nl","normalized","36-38","ref|NC_001146|","-",1,7478,7478,0.711,"3'"
"1044","cen-pk","SRR13577846.31551","nl","normalized","36-38","ref|NC_001144|","-",1062618,1071649,9032,0.572,"5'"
"1045","cen-pk","SRR13577846.31586","nl","normalized","36-38","ref|NC_001136|","+",1523900,1531931,8032,0.309,"3'"
"1046","cen-pk","SRR13577846.31604","nl","normalized","36-38","ref|NC_001144|","+",1069380,1078177,8798,2.174,"3'"
"1047","cen-pk","SRR13577846.31619","nl","normalized","36-38","ref|NC_001148|","+",939384,948066,8683,0.578,"3'"
"1048","cen-pk","SRR13577846.31633","nl","normalized","36-38","ref|NC_001146|","-",1,7478,7478,0.784,"3'"
"1049","cen-pk","SRR13577846.31649","nl","normalized","36-38","ref|NC_001142|","-",71,6931,6861,0.35,"3'"
"1050","cen-pk","SRR13577846.31726","nl","normalized","36-38","ref|NC_001144|","+",1070180,1078177,7998,1.209,"3'"
"1051","cen-pk","SRR13577846.31740","nl","normalized","36-38","ref|NC_001144|","+",16489,23024,6536,0.612,"5'"
"1052","cen-pk","SRR13577846.31751","nl","normalized","36-38","ref|NC_001145|","-",915345,924286,8942,0.13,"5'"
"1053","cen-pk","SRR13577846.3176","nl","normalized","36-38","ref|NC_001140|","-",553998,558619,4622,0.454,"5'"
"1054","cen-pk","SRR13577846.31790","nl","normalized","36-38","ref|NC_001144|","-",1068353,1078177,9825,0.666,"5'"
"1055","cen-pk","SRR13577846.31796","nl","normalized","36-38","ref|NC_001142|","+",737562,745631,8070,0.622,"3'"
"1056","cen-pk","SRR13577846.31810","nl","normalized","36-38","ref|NC_001144|","+",1069586,1078177,8592,1.066,"3'"
"1057","cen-pk","SRR13577846.31826","nl","normalized","36-38","ref|NC_001134|","-",1,6659,6659,0.576,"3'"
"1058","cen-pk","SRR13577846.31887","nl","normalized","36-38","ref|NC_001136|","-",1523503,1531931,8429,0.666,"5'"
"1059","cen-pk","SRR13577846.31936","nl","normalized","36-38","ref|NC_001146|","-",1,7552,7552,0.896,"3'"
"1060","cen-pk","SRR13577846.32057","nl","normalized","36-38","ref|NC_001146|","+",1,9398,9398,0.648,"5'"
"1061","cen-pk","SRR13577846.32075","nl","normalized","36-38","ref|NC_001140|","-",553998,558619,4622,0.642,"5'"
"1062","cen-pk","SRR13577846.32086","nl","normalized","36-38","ref|NC_001141|","+",60,8166,8107,0.36,"5'"
"1063","cen-pk","SRR13577846.32153","nl","normalized","36-38","ref|NC_001138|","-",261640,270123,8484,0.53,"5'"
"1064","cen-pk","SRR13577846.3216","nl","normalized","36-38","ref|NC_001134|","-",804223,813126,8904,0.542,"5'"
"1065","cen-pk","SRR13577846.32214","nl","normalized","36-38","ref|NC_001140|","-",46,7530,7485,0.539,"3'"
"1066","cen-pk","SRR13577846.32216","nl","normalized","36-38","ref|NC_001140|","-",550244,556823,6580,0.636,"5'"
"1067","cen-pk","SRR13577846.32247","nl","normalized","36-38","ref|NC_001144|","+",1070886,1078177,7292,1.094,"3'"
"1068","cen-pk","SRR13577846.32286","nl","normalized","36-38","ref|NC_001136|","-",163,10022,9860,0.559,"3'"
"1069","cen-pk","SRR13577846.32297","nl","normalized","36-38","ref|NC_001136|","-",1523599,1531931,8333,0.736,"5'"
"1070","cen-pk","SRR13577846.32301","nl","normalized","36-38","ref|NC_001141|","+",65,8166,8102,0.566,"5'"
"1071","cen-pk","SRR13577846.3232","nl","normalized","36-38","ref|NC_001144|","+",1069390,1078177,8788,0.856,"3'"
"1072","cen-pk","SRR13577846.32323","nl","normalized","36-38","ref|NC_001144|","-",87,7748,7662,0.822,"3'"
"1073","cen-pk","SRR13577846.3233","nl","normalized","36-38","ref|NC_001135|","+",396,9001,8606,1.018,"5'"
"1074","cen-pk","SRR13577846.32337","nl","normalized","36-38","ref|NC_001144|","+",93,9370,9278,0.854,"5'"
"1075","cen-pk","SRR13577846.32391","nl","normalized","36-38","ref|NC_001140|","+",550244,556823,6580,0.705,"3'"
"1076","cen-pk","SRR13577846.32462","nl","normalized","36-38","ref|NC_001139|","+",1080199,1090940,10742,0.75,"3'"
"1077","cen-pk","SRR13577846.32494","nl","normalized","36-38","ref|NC_001146|","+",1,8195,8195,0.554,"5'"
"1078","cen-pk","SRR13577846.32505","nl","normalized","36-38","ref|NC_001147|","-",1082223,1091272,9050,0.766,"5'"
"1079","cen-pk","SRR13577846.32533","nl","normalized","36-38","ref|NC_001140|","-",81,7530,7450,0.703,"3'"
"1080","cen-pk","SRR13577846.32593","nl","normalized","36-38","ref|NC_001147|","+",79,8941,8863,0.548,"5'"
"1081","cen-pk","SRR13577846.32604","nl","normalized","36-38","ref|NC_001148|","-",942432,948066,5635,0.454,"5'"
"1082","cen-pk","SRR13577846.32614","nl","normalized","36-38","ref|NC_001146|","-",1,7478,7478,0.736,"3'"
"1083","cen-pk","SRR13577846.3266","nl","normalized","36-38","ref|NC_001135|","+",376,8916,8541,0.366,"5'"
"1084","cen-pk","SRR13577846.32695","nl","normalized","36-38","ref|NC_001134|","-",1,6659,6659,0.6,"3'"
"1085","cen-pk","SRR13577846.32699","nl","normalized","36-38","ref|NC_001141|","+",66,8166,8101,0.16,"5'"
"1086","cen-pk","SRR13577846.327","nl","normalized","36-38","ref|NC_001144|","+",1069619,1078177,8559,0.859,"3'"
"1087","cen-pk","SRR13577846.32827","nl","normalized","36-38","ref|NC_001138|","+",262570,270137,7568,0.748,"3'"
"1088","cen-pk","SRR13577846.32833","nl","normalized","36-38","ref|NC_001146|","-",1,7357,7357,0.812,"3'"
"1089","cen-pk","SRR13577846.32835","nl","normalized","36-38","ref|NC_001147|","+",102,8625,8524,0.724,"5'"
"1090","cen-pk","SRR13577846.32874","nl","normalized","36-38","ref|NC_001145|","+",5599,13996,8398,0.666,"5'"
"1091","cen-pk","SRR13577846.32881","nl","normalized","36-38","ref|NC_001135|","-",376,8133,7758,0.901,"3'"
"1092","cen-pk","SRR13577846.32895","nl","normalized","36-38","ref|NC_001140|","+",554171,558619,4449,0.693,"3'"
"1093","cen-pk","SRR13577846.32900","nl","normalized","36-38","ref|NC_001148|","-",938055,948066,10012,0.43,"5'"
"1094","cen-pk","SRR13577846.32953","nl","normalized","36-38","ref|NC_001148|","+",937663,948066,10404,0.6,"3'"
"1095","cen-pk","SRR13577846.32975","nl","normalized","36-38","ref|NC_001142|","-",736036,745615,9580,0.518,"5'"
"1096","cen-pk","SRR13577846.32980","nl","normalized","36-38","ref|NC_001134|","-",1,8199,8199,0.562,"3'"
"1097","cen-pk","SRR13577846.33006","nl","normalized","36-38","ref|NC_001139|","+",1080836,1090940,10105,0.731,"3'"
"1098","cen-pk","SRR13577846.33041","nl","normalized","36-38","ref|NC_001144|","+",1062081,1071617,9537,0.845,"3'"
"1099","cen-pk","SRR13577846.33084","nl","normalized","36-38","ref|NC_001140|","+",552428,562392,9965,0.679,"3'"
"1100","cen-pk","SRR13577846.33105","nl","normalized","36-38","ref|NC_001134|","-",1,6659,6659,0.459,"3'"
"1101","cen-pk","SRR13577846.33146","nl","normalized","36-38","ref|NC_001134|","+",804413,813100,8688,0.615,"3'"
"1102","cen-pk","SRR13577846.33161","nl","normalized","36-38","ref|NC_001144|","+",95,7550,7456,0.854,"5'"
"1103","cen-pk","SRR13577846.33163","nl","normalized","36-38","ref|NC_001140|","+",54,7530,7477,0.53,"5'"
"1104","cen-pk","SRR13577846.33217","nl","normalized","36-38","ref|NC_001144|","+",16489,23644,7156,0.46,"5'"
"1105","cen-pk","SRR13577846.33261","nl","normalized","36-38","ref|NC_001134|","+",1,8154,8154,0.772,"5'"
"1106","cen-pk","SRR13577846.33277","nl","normalized","36-38","ref|NC_001146|","-",1,7478,7478,0.78,"3'"
"1107","cen-pk","SRR13577846.33299","nl","normalized","36-38","ref|NC_001140|","-",552826,562432,9607,0.642,"5'"
"1108","cen-pk","SRR13577846.33352","nl","normalized","36-38","ref|NC_001144|","-",113,9370,9258,0.762,"3'"
"1109","cen-pk","SRR13577846.33354","nl","normalized","36-38","ref|NC_001144|","-",16489,23275,6787,0.584,"3'"
"1110","cen-pk","SRR13577846.33384","nl","normalized","36-38","ref|NC_001135|","-",375,10322,9948,0.63,"3'"
"1111","cen-pk","SRR13577846.33411","nl","normalized","36-38","ref|NC_001144|","+",1065145,1073893,8749,0.148,"5'"
"1112","cen-pk","SRR13577846.3343","nl","normalized","36-38","ref|NC_001138|","+",1,7357,7357,0.66,"5'"
"1113","cen-pk","SRR13577846.33431","nl","normalized","36-38","ref|NC_001144|","-",16489,23698,7210,0.646,"3'"
"1114","cen-pk","SRR13577846.33452","nl","normalized","36-38","ref|NC_001135|","+",380,10970,10591,1.036,"5'"
"1115","cen-pk","SRR13577846.33461","nl","normalized","36-38","ref|NC_001138|","+",260616,270115,9500,0.554,"3'"
"1116","cen-pk","SRR13577846.3351","nl","normalized","36-38","ref|NC_001140|","+",550244,556823,6580,0.536,"3'"
"1117","cen-pk","SRR13577846.33515","nl","normalized","36-38","ref|NC_001144|","+",1071335,1078177,6843,0.901,"3'"
"1118","cen-pk","SRR13577846.33549","nl","normalized","36-38","ref|NC_001144|","+",1071018,1078177,7160,1.397,"3'"
"1119","cen-pk","SRR13577846.33585","nl","normalized","36-38","ref|NC_001147|","-",109,8821,8713,0.537,"3'"
"1120","cen-pk","SRR13577846.33590","nl","normalized","36-38","ref|NC_001148|","+",939428,948066,8639,0.519,"3'"
"1121","cen-pk","SRR13577846.33608","nl","normalized","36-38","ref|NC_001140|","-",553998,558619,4622,0.53,"5'"
"1122","cen-pk","SRR13577846.33623","nl","normalized","36-38","ref|NC_001139|","+",1080244,1090940,10697,0.622,"3'"
"1123","cen-pk","SRR13577846.33678","nl","normalized","36-38","ref|NC_001134|","+",804811,813093,8283,0.714,"3'"
"1124","cen-pk","SRR13577846.33687","nl","normalized","36-38","ref|NC_001144|","+",1063563,1071611,8049,0.848,"3'"
"1125","cen-pk","SRR13577846.33711","nl","normalized","36-38","ref|NC_001134|","+",805013,813102,8090,0.635,"3'"
"1126","cen-pk","SRR13577846.3377","nl","normalized","36-38","ref|NC_001144|","+",1071401,1078177,6777,1.999,"3'"
"1127","cen-pk","SRR13577846.33786","nl","normalized","36-38","ref|NC_001140|","-",552006,562431,10426,0.354,"5'"
"1128","cen-pk","SRR13577846.33810","nl","normalized","36-38","ref|NC_001147|","+",1082068,1091236,9169,0.466,"3'"
"1129","cen-pk","SRR13577846.33871","nl","normalized","36-38","ref|NC_001146|","-",1,8628,8628,0.733,"3'"
"1130","cen-pk","SRR13577846.33881","nl","normalized","36-38","ref|NC_001144|","+",16489,25204,8716,0.554,"5'"
"1131","cen-pk","SRR13577846.33974","nl","normalized","36-38","ref|NC_001146|","-",1,7960,7960,0.718,"3'"
"1132","cen-pk","SRR13577846.34005","nl","normalized","36-38","ref|NC_001140|","+",56,7530,7475,0.73,"5'"
"1133","cen-pk","SRR13577846.34041","nl","normalized","36-38","ref|NC_001144|","-",1068366,1078177,9812,0.76,"5'"
"1134","cen-pk","SRR13577846.3405","nl","normalized","36-38","ref|NC_001136|","+",1516329,1525334,9006,0.46,"3'"
"1135","cen-pk","SRR13577846.34072","nl","normalized","36-38","ref|NC_001134|","+",1,6873,6873,0.972,"5'"
"1136","cen-pk","SRR13577846.34109","nl","normalized","36-38","ref|NC_001147|","+",82,10092,10011,0.642,"5'"
"1137","cen-pk","SRR13577846.34130","nl","normalized","36-38","ref|NC_001140|","+",550244,556823,6580,0.707,"3'"
"1138","cen-pk","SRR13577846.34185","nl","normalized","36-38","ref|NC_001144|","+",1069210,1078177,8968,0.807,"3'"
"1139","cen-pk","SRR13577846.34236","nl","normalized","36-38","ref|NC_001144|","+",1063929,1071649,7721,0.882,"3'"
"1140","cen-pk","SRR13577846.34263","nl","normalized","36-38","ref|NC_001136|","-",1514711,1525334,10624,0.354,"5'"
"1141","cen-pk","SRR13577846.34270","nl","normalized","36-38","ref|NC_001144|","-",77,8033,7957,0.828,"3'"
"1142","cen-pk","SRR13577846.34271","nl","normalized","36-38","ref|NC_001142|","-",149,9186,9038,0.502,"3'"
"1143","cen-pk","SRR13577846.34293","nl","normalized","36-38","ref|NC_001148|","+",940356,948066,7711,0.557,"3'"
"1144","cen-pk","SRR13577846.34310","nl","normalized","36-38","ref|NC_001135|","-",372,10510,10139,1.004,"3'"
"1145","cen-pk","SRR13577846.34316","nl","normalized","36-38","ref|NC_001136|","+",1515952,1525334,9383,0.524,"3'"
"1146","cen-pk","SRR13577846.34346","nl","normalized","36-38","ref|NC_001146|","+",1,7478,7478,0.73,"5'"
"1147","cen-pk","SRR13577846.34427","nl","normalized","36-38","ref|NC_001146|","+",1,7766,7766,0.554,"5'"
"1148","cen-pk","SRR13577846.34465","nl","normalized","36-38","ref|NC_001144|","-",108,8104,7997,0.811,"3'"
"1149","cen-pk","SRR13577846.34530","nl","normalized","36-38","ref|NC_001144|","-",1067198,1078177,10980,0.666,"5'"
"1150","cen-pk","SRR13577846.34531","nl","normalized","36-38","ref|NC_001146|","+",1,8556,8556,0.66,"5'"
"1151","cen-pk","SRR13577846.3455","nl","normalized","36-38","ref|NC_001144|","-",1069612,1078177,8566,0.766,"5'"
"1152","cen-pk","SRR13577846.34567","nl","normalized","36-38","ref|NC_001148|","+",940160,948066,7907,0.577,"3'"
"1153","cen-pk","SRR13577846.34583","nl","normalized","36-38","ref|NC_001142|","-",129,7880,7752,0.543,"3'"
"1154","cen-pk","SRR13577846.34604","nl","normalized","36-38","ref|NC_001140|","+",552337,562389,10053,0.594,"3'"
"1155","cen-pk","SRR13577846.3462","nl","normalized","36-38","ref|NC_001140|","+",553998,558619,4622,0.566,"3'"
"1156","cen-pk","SRR13577846.34635","nl","normalized","36-38","ref|NC_001140|","-",553998,558619,4622,0.624,"5'"
"1157","cen-pk","SRR13577846.3464","nl","normalized","36-38","ref|NC_001140|","+",550244,556823,6580,0.79,"3'"
"1158","cen-pk","SRR13577846.3465","nl","normalized","36-38","ref|NC_001148|","-",941909,948066,6158,0.436,"5'"
"1159","cen-pk","SRR13577846.34681","nl","normalized","36-38","ref|NC_001140|","+",553998,558619,4622,0.537,"3'"
"1160","cen-pk","SRR13577846.34695","nl","normalized","36-38","ref|NC_001144|","-",109,9109,9001,0.73,"3'"
"1161","cen-pk","SRR13577846.34739","nl","normalized","36-38","ref|NC_001145|","-",5627,14828,9202,0.824,"3'"
"1162","cen-pk","SRR13577846.34808","nl","normalized","36-38","ref|NC_001146|","-",1,7515,7515,0.691,"3'"
"1163","cen-pk","SRR13577846.34822","nl","normalized","36-38","ref|NC_001140|","+",553321,562383,9063,0.431,"3'"
"1164","cen-pk","SRR13577846.34869","nl","normalized","36-38","ref|NC_001140|","-",550244,556823,6580,0.848,"5'"
"1165","cen-pk","SRR13577846.34878","nl","normalized","36-38","ref|NC_001138|","+",262461,270118,7658,0.636,"3'"
"1166","cen-pk","SRR13577846.34917","nl","normalized","36-38","ref|NC_001144|","+",16489,24670,8182,0.724,"5'"
"1167","cen-pk","SRR13577846.34922","nl","normalized","36-38","ref|NC_001138|","-",259350,270127,10778,0.454,"5'"
"1168","cen-pk","SRR13577846.34977","nl","normalized","36-38","ref|NC_001140|","-",553998,558619,4622,0.548,"5'"
"1169","cen-pk","SRR13577846.35030","nl","normalized","36-38","ref|NC_001147|","+",1085172,1091241,6070,1.994,"3'"
"1170","cen-pk","SRR13577846.35031","nl","normalized","36-38","ref|NC_001135|","-",387,8461,8075,0.876,"3'"
"1171","cen-pk","SRR13577846.3510","nl","normalized","36-38","ref|NC_001140|","+",550244,556823,6580,0.736,"3'"
"1172","cen-pk","SRR13577846.35107","nl","normalized","36-38","ref|NC_001146|","+",4,7460,7457,0.86,"5'"
"1173","cen-pk","SRR13577846.35134","nl","normalized","36-38","ref|NC_001141|","+",103,8166,8064,0.448,"5'"
"1174","cen-pk","SRR13577846.35151","nl","normalized","36-38","ref|NC_001134|","-",1,9602,9602,0.557,"3'"
"1175","cen-pk","SRR13577846.35186","nl","normalized","36-38","ref|NC_001146|","-",1,7337,7337,0.719,"3'"
"1176","cen-pk","SRR13577846.35214","nl","normalized","36-38","ref|NC_001144|","-",119,8034,7916,0.744,"3'"
"1177","cen-pk","SRR13577846.35239","nl","normalized","36-38","ref|NC_001139|","-",51,9464,9414,0.189,"3'"
"1178","cen-pk","SRR13577846.35266","nl","normalized","36-38","ref|NC_001136|","+",1523133,1531931,8799,0.509,"3'"
"1179","cen-pk","SRR13577846.35272","nl","normalized","36-38","ref|NC_001140|","+",550244,556823,6580,0.829,"3'"
"1180","cen-pk","SRR13577846.35286","nl","normalized","36-38","ref|NC_001134|","+",1,6659,6659,0.63,"5'"
"1181","cen-pk","SRR13577846.35423","nl","normalized","36-38","ref|NC_001148|","+",940062,948066,8005,0.393,"3'"
"1182","cen-pk","SRR13577846.35454","nl","normalized","36-38","ref|NC_001134|","+",1,9237,9237,0.572,"5'"
"1183","cen-pk","SRR13577846.3547","nl","normalized","36-38","ref|NC_001136|","+",1516733,1525334,8602,0.576,"3'"
"1184","cen-pk","SRR13577846.355","nl","normalized","36-38","ref|NC_001146|","+",1,7316,7316,0.66,"5'"
"1185","cen-pk","SRR13577846.35528","nl","normalized","36-38","ref|NC_001146|","+",1,7478,7478,0.666,"5'"
"1186","cen-pk","SRR13577846.35546","nl","normalized","36-38","ref|NC_001148|","-",938002,948066,10065,0.554,"5'"
"1187","cen-pk","SRR13577846.35560","nl","normalized","36-38","ref|NC_001134|","-",1,8459,8459,0.476,"3'"
"1188","cen-pk","SRR13577846.35563","nl","normalized","36-38","ref|NC_001147|","+",91,7467,7377,0.93,"5'"
"1189","cen-pk","SRR13577846.35570","nl","normalized","36-38","ref|NC_001138|","-",1,7174,7174,0.529,"3'"
"1190","cen-pk","SRR13577846.35571","nl","normalized","36-38","ref|NC_001136|","-",1523846,1531931,8086,0.672,"5'"
"1191","cen-pk","SRR13577846.35590","nl","normalized","36-38","ref|NC_001141|","+",99,8166,8068,0.548,"5'"
"1192","cen-pk","SRR13577846.35591","nl","normalized","36-38","ref|NC_001148|","+",939350,948066,8717,0.53,"3'"
"1193","cen-pk","SRR13577846.35602","nl","normalized","36-38","ref|NC_001140|","-",39,7530,7492,0.374,"3'"
"1194","cen-pk","SRR13577846.35615","nl","normalized","36-38","ref|NC_001146|","+",1,8165,8165,0.648,"5'"
"1195","cen-pk","SRR13577846.35675","nl","normalized","36-38","ref|NC_001136|","-",1523133,1531931,8799,0.636,"5'"
"1196","cen-pk","SRR13577846.35727","nl","normalized","36-38","ref|NC_001140|","+",553998,558619,4622,0.561,"3'"
"1197","cen-pk","SRR13577846.35773","nl","normalized","36-38","ref|NC_001147|","+",1081592,1091247,9656,0.718,"3'"
"1198","cen-pk","SRR13577846.35791","nl","normalized","36-38","ref|NC_001134|","+",1,7928,7928,0.572,"5'"
"1199","cen-pk","SRR13577846.35794","nl","normalized","36-38","ref|NC_001140|","-",554584,562433,7850,0.448,"5'"
"1200","cen-pk","SRR13577846.35829","nl","normalized","36-38","ref|NC_001146|","-",1,8121,8121,0.628,"3'"
"1201","cen-pk","SRR13577846.35885","nl","normalized","36-38","ref|NC_001147|","+",1080142,1091267,11126,0.83,"3'"
"1202","cen-pk","SRR13577846.3592","nl","normalized","36-38","ref|NC_001138|","+",1,6892,6892,0.76,"5'"
"1203","cen-pk","SRR13577846.35926","nl","normalized","36-38","ref|NC_001134|","+",805148,813122,7975,0.48,"3'"
"1204","cen-pk","SRR13577846.35944","nl","normalized","36-38","ref|NC_001140|","+",553535,562392,8858,0.497,"3'"
"1205","cen-pk","SRR13577846.35969","nl","normalized","36-38","ref|NC_001148|","+",940415,948066,7652,0.665,"3'"
"1206","cen-pk","SRR13577846.36023","nl","normalized","36-38","ref|NC_001136|","+",158,8381,8224,0.548,"5'"
"1207","cen-pk","SRR13577846.36055","nl","normalized","36-38","ref|NC_001141|","+",108,8166,8059,0.63,"5'"
"1208","cen-pk","SRR13577846.36108","nl","normalized","36-38","ref|NC_001138|","-",1,8297,8297,0.738,"3'"
"1209","cen-pk","SRR13577846.36133","nl","normalized","36-38","ref|NC_001142|","+",86,6931,6846,0.642,"5'"
"1210","cen-pk","SRR13577846.3622","nl","normalized","36-38","ref|NC_001146|","+",1,9437,9437,0.33,"5'"
"1211","cen-pk","SRR13577846.36244","nl","normalized","36-38","ref|NC_001147|","+",1084697,1091248,6552,1.931,"3'"
"1212","cen-pk","SRR13577846.36271","nl","normalized","36-38","ref|NC_001147|","+",1081611,1091248,9638,0.769,"3'"
"1213","cen-pk","SRR13577846.36376","nl","normalized","36-38","ref|NC_001140|","+",552542,562393,9852,0.719,"3'"
"1214","cen-pk","SRR13577846.36401","nl","normalized","36-38","ref|NC_001144|","+",109,9340,9232,0.63,"5'"
"1215","cen-pk","SRR13577846.36411","nl","normalized","36-38","ref|NC_001138|","+",1,8641,8641,0.748,"5'"
"1216","cen-pk","SRR13577846.36465","nl","normalized","36-38","ref|NC_001136|","+",153,10214,10062,0.56,"5'"
"1217","cen-pk","SRR13577846.36476","nl","normalized","36-38","ref|NC_001144|","+",1070665,1078177,7513,0.821,"3'"
"1218","cen-pk","SRR13577846.36551","nl","normalized","36-38","ref|NC_001147|","-",1081687,1091286,9600,0.466,"5'"
"1219","cen-pk","SRR13577846.36570","nl","normalized","36-38","ref|NC_001135|","-",372,11196,10825,1.064,"3'"
"1220","cen-pk","SRR13577846.36607","nl","normalized","36-38","ref|NC_001134|","-",1,9049,9049,0.819,"3'"
"1221","cen-pk","SRR13577846.3661","nl","normalized","36-38","ref|NC_001144|","-",1062250,1071649,9400,0.766,"5'"
"1222","cen-pk","SRR13577846.36620","nl","normalized","36-38","ref|NC_001144|","-",127,8825,8699,0.985,"3'"
"1223","cen-pk","SRR13577846.36635","nl","normalized","36-38","ref|NC_001134|","-",1,6659,6659,0.459,"3'"
"1224","cen-pk","SRR13577846.36636","nl","normalized","36-38","ref|NC_001136|","-",162,8536,8375,0.369,"3'"
"1225","cen-pk","SRR13577846.3668","nl","normalized","36-38","ref|NC_001144|","+",1070850,1078177,7328,0.791,"3'"
"1226","cen-pk","SRR13577846.36685","nl","normalized","36-38","ref|NC_001147|","-",1083287,1091275,7989,0.672,"5'"
"1227","cen-pk","SRR13577846.36722","nl","normalized","36-38","ref|NC_001144|","-",1070474,1078177,7704,1.266,"5'"
"1228","cen-pk","SRR13577846.36768","nl","normalized","36-38","ref|NC_001147|","+",1082091,1091246,9156,0.739,"3'"
"1229","cen-pk","SRR13577846.36781","nl","normalized","36-38","ref|NC_001144|","+",1068132,1078177,10046,0.816,"3'"
"1230","cen-pk","SRR13577846.36796","nl","normalized","36-38","ref|NC_001146|","-",4,7874,7871,0.751,"3'"
"1231","cen-pk","SRR13577846.36799","nl","normalized","36-38","ref|NC_001135|","+",378,10126,9749,0.954,"5'"
"1232","cen-pk","SRR13577846.36826","nl","normalized","36-38","ref|NC_001134|","+",805096,813129,8034,0.573,"3'"
"1233","cen-pk","SRR13577846.36852","nl","normalized","36-38","ref|NC_001147|","+",79,10963,10885,0.654,"5'"
"1234","cen-pk","SRR13577846.36885","nl","normalized","36-38","ref|NC_001138|","+",260977,270115,9139,0.565,"3'"
"1235","cen-pk","SRR13577846.37000","nl","normalized","36-38","ref|NC_001140|","-",97,7530,7434,0.377,"3'"
"1236","cen-pk","SRR13577846.37065","nl","normalized","36-38","ref|NC_001144|","-",16489,24379,7891,0.712,"3'"
"1237","cen-pk","SRR13577846.37114","nl","normalized","36-38","ref|NC_001141|","+",86,6948,6863,0.672,"5'"
"1238","cen-pk","SRR13577846.37161","nl","normalized","36-38","ref|NC_001138|","-",1,9429,9429,0.79,"3'"
"1239","cen-pk","SRR13577846.37162","nl","normalized","36-38","ref|NC_001136|","-",1524136,1531931,7796,0.536,"5'"
"1240","cen-pk","SRR13577846.37274","nl","normalized","36-38","ref|NC_001142|","+",735130,745616,10487,0.388,"3'"
"1241","cen-pk","SRR13577846.37303","nl","normalized","36-38","ref|NC_001145|","+",5606,13161,7556,1.53,"5'"
"1242","cen-pk","SRR13577846.37318","nl","normalized","36-38","ref|NC_001144|","+",68,8217,8150,0.972,"5'"
"1243","cen-pk","SRR13577846.37381","nl","normalized","36-38","ref|NC_001144|","-",1062365,1071624,9260,0.754,"5'"
"1244","cen-pk","SRR13577846.37395","nl","normalized","36-38","ref|NC_001144|","+",1062250,1071583,9334,0.845,"3'"
"1245","cen-pk","SRR13577846.37396","nl","normalized","36-38","ref|NC_001145|","+",5609,14406,8798,0.324,"5'"
"1246","cen-pk","SRR13577846.37474","nl","normalized","36-38","ref|NC_001146|","-",1,7478,7478,0.72,"3'"
"1247","cen-pk","SRR13577846.37484","nl","normalized","36-38","ref|NC_001138|","+",260576,270120,9545,0.549,"3'"
"1248","cen-pk","SRR13577846.37499","nl","normalized","36-38","ref|NC_001146|","-",6,8280,8275,0.958,"3'"
